KEGG	KEGGname
ko00430	Taurine and hypotaurine metabolism
ko00440	Phosphonate and phosphinate metabolism
ko00450	Selenocompound metabolism
ko00460	Cyanoamino acid metabolism
ko00471	D-Glutamine and D-glutamate metabolism
ko00472	D-Arginine and D-ornithine metabolism
ko00473	D-Alanine metabolism
ko00480	Glutathione metabolism
ko00500	Starch and sucrose metabolism
ko00510	N-Glycan biosynthesis
ko00511	Other glycan degradation
ko00512	Mucin type O-glycan biosynthesis
ko00513	Various types of N-glycan biosynthesis
ko00514	Other types of O-glycan biosynthesis
ko00515	Mannose type O-glycan biosynthesis
ko00520	Amino sugar and nucleotide sugar metabolism
ko00521	Streptomycin biosynthesis
ko00522	"Biosynthesis of 12-, 14- and 16-membered macrolides"
ko00523	Polyketide sugar unit biosynthesis
ko00524	"Neomycin, kanamycin and gentamicin biosynthesis"
ko00525	Acarbose and validamycin biosynthesis
ko00531	Glycosaminoglycan degradation
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
ko00540	Lipopolysaccharide biosynthesis
ko00541	O-Antigen nucleotide sugar biosynthesis
ko00550	Peptidoglycan biosynthesis
ko00561	Glycerolipid metabolism
ko00562	Inositol phosphate metabolism
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
ko00564	Glycerophospholipid metabolism
ko00565	Ether lipid metabolism
ko00571	Lipoarabinomannan (LAM) biosynthesis
ko00572	Arabinogalactan biosynthesis - Mycobacterium
ko00590	Arachidonic acid metabolism
ko00591	Linoleic acid metabolism
ko00592	alpha-Linolenic acid metabolism
ko00600	Sphingolipid metabolism
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series
ko00604	Glycosphingolipid biosynthesis - ganglio series
ko00620	Pyruvate metabolism
ko00621	Dioxin degradation
ko00622	Xylene degradation
ko00623	Toluene degradation
ko00624	Polycyclic aromatic hydrocarbon degradation
ko00625	Chloroalkane and chloroalkene degradation
ko00626	Naphthalene degradation
ko00627	Aminobenzoate degradation
ko00630	Glyoxylate and dicarboxylate metabolism
ko00633	Nitrotoluene degradation
ko00640	Propanoate metabolism
ko00642	Ethylbenzene degradation
ko00643	Styrene degradation
ko00650	Butanoate metabolism
ko00660	C5-Branched dibasic acid metabolism
ko00670	One carbon pool by folate
ko00680	Methane metabolism
ko00710	Carbon fixation in photosynthetic organisms
ko00720	Carbon fixation pathways in prokaryotes
ko00730	Thiamine metabolism
ko00740	Riboflavin metabolism
ko00750	Vitamin B6 metabolism
ko00760	Nicotinate and nicotinamide metabolism
ko00770	Pantothenate and CoA biosynthesis
ko00780	Biotin metabolism
ko00785	Lipoic acid metabolism
ko00790	Folate biosynthesis
ko00791	Atrazine degradation
ko00830	Retinol metabolism
ko00860	Porphyrin and chlorophyll metabolism
ko00900	Terpenoid backbone biosynthesis
ko00901	Indole alkaloid biosynthesis
ko00902	Monoterpenoid biosynthesis
ko00903	Limonene and pinene degradation
ko00904	Diterpenoid biosynthesis
ko00905	Brassinosteroid biosynthesis
ko00906	Carotenoid biosynthesis
ko00908	Zeatin biosynthesis
ko00909	Sesquiterpenoid and triterpenoid biosynthesis
ko00910	Nitrogen metabolism
ko00920	Sulfur metabolism
ko00930	Caprolactam degradation
ko00940	Phenylpropanoid biosynthesis
ko00941	Flavonoid biosynthesis
ko00942	Anthocyanin biosynthesis
ko00943	Isoflavonoid biosynthesis
ko00944	Flavone and flavonol biosynthesis
ko00945	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
ko00950	Isoquinoline alkaloid biosynthesis
ko00960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
ko00965	Betalain biosynthesis
ko00966	Glucosinolate biosynthesis
ko00970	Aminoacyl-tRNA biosynthesis
ko00980	Metabolism of xenobiotics by cytochrome P450
ko00981	Insect hormone biosynthesis
ko00982	Drug metabolism - cytochrome P450
ko00983	Drug metabolism - other enzymes
ko00984	Steroid degradation
ko00997	Biosynthesis of various secondary metabolites - part 3
ko00998	Biosynthesis of various secondary metabolites - part 2
ko00999	Biosynthesis of various secondary metabolites - part 1
ko01010	Overview of biosynthetic pathways
ko01040	Biosynthesis of unsaturated fatty acids
ko01051	Biosynthesis of ansamycins
ko01052	Type I polyketide structures
ko01053	Biosynthesis of siderophore group nonribosomal peptides
ko01054	Nonribosomal peptide structures
ko01055	Biosynthesis of vancomycin group antibiotics
ko01056	Biosynthesis of type II polyketide backbone
ko01057	Biosynthesis of type II polyketide products
ko01058	Acridone alkaloid biosynthesis
ko01059	Biosynthesis of enediyne antibiotics
ko01060	Biosynthesis of plant secondary metabolites
ko01061	Biosynthesis of phenylpropanoids
ko01062	Biosynthesis of terpenoids and steroids
ko01063	Biosynthesis of alkaloids derived from shikimate pathway
ko01064	"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
ko01065	Biosynthesis of alkaloids derived from histidine and purine
ko01066	Biosynthesis of alkaloids derived from terpenoid and polyketide
ko01070	Biosynthesis of plant hormones
ko01100	Metabolic pathways
ko01110	Biosynthesis of secondary metabolites
ko01120	Microbial metabolism in diverse environments
ko01200	Carbon metabolism
ko01210	2-Oxocarboxylic acid metabolism
ko01212	Fatty acid metabolism
ko01220	Degradation of aromatic compounds
ko01230	Biosynthesis of amino acids
ko01240	Biosynthesis of cofactors New!
ko01501	beta-Lactam resistance
ko01502	Vancomycin resistance
ko01503	Cationic antimicrobial peptide (CAMP) resistance
ko01521	EGFR tyrosine kinase inhibitor resistance
ko01522	Endocrine resistance
ko01523	Antifolate resistance
ko01524	Platinum drug resistance
ko02010	ABC transporters
ko02020	Two-component system
ko02024	Quorum sensing
ko02025	Biofilm formation - Pseudomonas aeruginosa
ko02026	Biofilm formation - Escherichia coli
ko02030	Bacterial chemotaxis
ko02040	Flagellar assembly
ko02060	Phosphotransferase system (PTS)
ko03008	Ribosome biogenesis in eukaryotes
ko03010	Ribosome
ko03013	RNA transport
ko03015	mRNA surveillance pathway
ko03018	RNA degradation
ko03020	RNA polymerase
ko03022	Basal transcription factors
ko03030	DNA replication
ko03040	Spliceosome
ko03050	Proteasome
ko03060	Protein export
ko03070	Bacterial secretion system
ko03320	PPAR signaling pathway
ko03410	Base excision repair
ko03420	Nucleotide excision repair
ko03430	Mismatch repair
ko03440	Homologous recombination
ko03450	Non-homologous end-joining
ko03460	Fanconi anemia pathway
ko04010	MAPK signaling pathway
ko04011	MAPK signaling pathway - yeast
ko04012	ErbB signaling pathway
ko04013	MAPK signaling pathway - fly
ko04014	Ras signaling pathway
ko04015	Rap1 signaling pathway
ko04016	MAPK signaling pathway - plant
ko04020	Calcium signaling pathway
ko04022	cGMP-PKG signaling pathway
ko04024	cAMP signaling pathway
ko04060	Cytokine-cytokine receptor interaction
ko04061	Viral protein interaction with cytokine and cytokine receptor
ko04062	Chemokine signaling pathway
ko04064	NF-kappa B signaling pathway
ko04066	HIF-1 signaling pathway
ko04068	FoxO signaling pathway
ko04070	Phosphatidylinositol signaling system
ko04071	Sphingolipid signaling pathway
ko04072	Phospholipase D signaling pathway
ko04075	Plant hormone signal transduction
ko04080	Neuroactive ligand-receptor interaction
ko04110	Cell cycle
ko04111	Cell cycle - yeast
ko04112	Cell cycle - Caulobacter
ko04113	Meiosis - yeast
ko04114	Oocyte meiosis
ko04115	p53 signaling pathway
ko04120	Ubiquitin mediated proteolysis
ko04122	Sulfur relay system
ko04130	SNARE interactions in vesicular transport
ko04136	Autophagy - other
ko04137	Mitophagy - animal
ko04138	Autophagy - yeast
ko04139	Mitophagy - yeast
ko04140	Autophagy - animal
ko04141	Protein processing in endoplasmic reticulum
ko04142	Lysosome
ko04144	Endocytosis
ko04145	Phagosome
ko04146	Peroxisome
ko04150	mTOR signaling pathway
ko04151	PI3K-Akt signaling pathway
ko04152	AMPK signaling pathway
ko04210	Apoptosis
ko04211	Longevity regulating pathway
ko04212	Longevity regulating pathway - worm
ko04213	Longevity regulating pathway - multiple species
ko04214	Apoptosis - fly
ko04215	Apoptosis - multiple species
ko04216	Ferroptosis
ko04217	Necroptosis
ko04218	Cellular senescence
ko04260	Cardiac muscle contraction
ko04261	Adrenergic signaling in cardiomyocytes
ko04270	Vascular smooth muscle contraction
ko04310	Wnt signaling pathway
ko04320	Dorso-ventral axis formation
ko04330	Notch signaling pathway
ko04340	Hedgehog signaling pathway
ko04341	Hedgehog signaling pathway - fly
ko04350	TGF-beta signaling pathway
ko04360	Axon guidance
ko04361	Axon regeneration
ko04370	VEGF signaling pathway
ko04371	Apelin signaling pathway
ko04380	Osteoclast differentiation
ko04390	Hippo signaling pathway
ko04391	Hippo signaling pathway - fly
ko04392	Hippo signaling pathway - multiple species
ko04510	Focal adhesion
ko04512	ECM-receptor interaction
ko04514	Cell adhesion molecules
ko04520	Adherens junction
ko04530	Tight junction
ko04540	Gap junction
ko04550	Signaling pathways regulating pluripotency of stem cells
ko04610	Complement and coagulation cascades
ko04611	Platelet activation
ko04612	Antigen processing and presentation
ko04613	Neutrophil extracellular trap formation New!
ko04614	Renin-angiotensin system
ko04620	Toll-like receptor signaling pathway
ko04621	NOD-like receptor signaling pathway
ko04622	RIG-I-like receptor signaling pathway
ko04623	Cytosolic DNA-sensing pathway
ko04624	Toll and Imd signaling pathway
ko04625	C-type lectin receptor signaling pathway
ko04626	Plant-pathogen interaction
ko04630	JAK-STAT signaling pathway
ko04640	Hematopoietic cell lineage
ko04650	Natural killer cell mediated cytotoxicity
ko04657	IL-17 signaling pathway
ko04658	Th1 and Th2 cell differentiation
ko04659	Th17 cell differentiation
ko04660	T cell receptor signaling pathway
ko04662	B cell receptor signaling pathway
ko04664	Fc epsilon RI signaling pathway
ko04666	Fc gamma R-mediated phagocytosis
ko04668	TNF signaling pathway
ko04670	Leukocyte transendothelial migration
ko04672	Intestinal immune network for IgA production
ko04710	Circadian rhythm
ko04711	Circadian rhythm - fly
ko04712	Circadian rhythm - plant
ko04713	Circadian entrainment
ko04714	Thermogenesis
ko04720	Long-term potentiation
ko04721	Synaptic vesicle cycle
ko04722	Neurotrophin signaling pathway
ko04723	Retrograde endocannabinoid signaling
ko04724	Glutamatergic synapse
ko04725	Cholinergic synapse
ko04726	Serotonergic synapse
ko04727	GABAergic synapse
ko04728	Dopaminergic synapse
ko04730	Long-term depression
ko04740	Olfactory transduction
ko04742	Taste transduction
ko04744	Phototransduction
ko04745	Phototransduction - fly
ko04750	Inflammatory mediator regulation of TRP channels
ko04810	Regulation of actin cytoskeleton
ko04910	Insulin signaling pathway
ko04911	Insulin secretion
ko04912	GnRH signaling pathway
ko04913	Ovarian steroidogenesis
ko04914	Progesterone-mediated oocyte maturation
ko04915	Estrogen signaling pathway
ko04916	Melanogenesis
ko04917	Prolactin signaling pathway
ko04918	Thyroid hormone synthesis
ko04919	Thyroid hormone signaling pathway
ko04920	Adipocytokine signaling pathway
ko04921	Oxytocin signaling pathway
ko04922	Glucagon signaling pathway
ko04923	Regulation of lipolysis in adipocytes
ko04924	Renin secretion
ko04925	Aldosterone synthesis and secretion
ko04926	Relaxin signaling pathway
ko04927	Cortisol synthesis and secretion
ko04928	"Parathyroid hormone synthesis, secretion and action"
ko04929	GnRH secretion
ko04960	Aldosterone-regulated sodium reabsorption
ko04961	Endocrine and other factor-regulated calcium reabsorption
ko04962	Vasopressin-regulated water reabsorption
ko04964	Proximal tubule bicarbonate reclamation
ko04966	Collecting duct acid secretion
ko04970	Salivary secretion
ko04971	Gastric acid secretion
ko04972	Pancreatic secretion
ko04973	Carbohydrate digestion and absorption
ko04974	Protein digestion and absorption
ko04975	Fat digestion and absorption
ko04976	Bile secretion
ko04977	Vitamin digestion and absorption
ko04978	Mineral absorption
ko04979	Cholesterol metabolism
ko07011	Penicillins
ko07012	Cephalosporins - parenteral agents
ko07013	Cephalosporins - oral agents
ko07014	Quinolones
ko07015	Local analgesics
ko07016	Sulfonamide derivatives - sulfa drugs
ko07017	Sulfonamide derivatives - diuretics
ko07018	Sulfonamide derivatives - hypoglycemic agents
ko07019	Tetracyclines
ko07020	Macrolides and ketolides
ko07021	Aminoglycosides
ko07023	Rifamycins
ko07024	HMG-CoA reductase inhibitors
ko07025	Quinolines
ko07026	Antifungal agents
ko07027	Antidepressants
ko07028	Antipsychotics
ko07029	Antipsychotics - phenothiazines
ko07030	Anxiolytics
ko07031	Antipsychotics - butyrophenones
ko07032	Hypnotics
ko07033	Anticonvulsants
ko07034	Eicosanoids
ko07035	Prostaglandins
ko07036	Calcium channel blocking drugs
ko07037	Antiarrhythmic drugs
ko07038	Antiulcer drugs
ko07039	Opioid analgesics
ko07040	Antineoplastics - alkylating agents
ko07041	Antineoplastics - antimetabolic agents
ko07042	Antineoplastics - agents from natural products
ko07043	Antineoplastics - hormones
ko07044	Antiviral agents
ko07045	Antineoplastics - protein kinase inhibitors
ko07046	Immunosuppressive agents
ko07047	Osteoporosis drugs
ko07048	Antimigraines
ko07049	Antithrombosis agents
ko07050	Antirheumatics - DMARDs and biological agents
ko07051	Antidiabetics
ko07052	Antidyslipidemic agents
ko07053	Anti-HIV agents
ko07054	Antiglaucoma agents
ko07055	Sulfonamide derivatives - overview
ko07056	Agents for Alzheimer-type dementia
ko07057	Antiparkinsonian agents
ko07110	Benzoic acid family
ko07112	"1,2-Diphenyl substitution family"
ko07114	Naphthalene family
ko07117	Benzodiazepine family
ko07211	Serotonin receptor agonists/antagonists
ko07212	Histamine H1 receptor antagonists
ko07213	Dopamine receptor agonists/antagonists
ko07214	beta-Adrenergic receptor agonists/antagonists
ko07215	alpha-Adrenergic receptor agonists/antagonists
ko07216	Catecholamine transferase inhibitors
ko07217	Renin-angiotensin system inhibitors
ko07218	HIV protease inhibitors
ko07219	Cyclooxygenase inhibitors
ko07220	Cholinergic and anticholinergic drugs
ko07221	Nicotinic cholinergic receptor antagonists
ko07222	Peroxisome proliferator-activated receptor (PPAR) agonists
ko07223	Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists
ko07224	Opioid receptor agonists/antagonists
ko07225	Glucocorticoid and mineralocorticoid receptor agonists/antagonists
ko07226	"Progesterone, androgen and estrogen receptor agonists/antagonists"
ko07227	Histamine H2/H3 receptor agonists/antagonists
ko07228	Eicosanoid receptor agonists/antagonists
ko07229	Angiotensin receptor and endothelin receptor antagonists
ko07230	GABA-A receptor agonists/antagonists
ko07231	Sodium channel blocking drugs
ko07232	Potassium channel blocking and opening drugs
ko07233	Ion transporter inhibitors
ko07234	Neurotransmitter transporter inhibitors
ko07235	N-Methyl-D-aspartic acid (NMDA) receptor antagonists
