ko	KOname
K14029	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2
K00114	exaA; alcohol dehydrogenase (cytochrome c)
K04022	eutG; alcohol dehydrogenase
K22473	adhA; alcohol dehydrogenase (quinone), dehydrogenase subunit
K22474	adhB; alcohol dehydrogenase (quinone), cytochrome c subunit
K00128	ALDH; aldehyde dehydrogenase (NAD+)
K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1
K00149	ALDH9A1; aldehyde dehydrogenase family 9 member A1
K00129	ALDH3; aldehyde dehydrogenase (NAD(P)+)
K00138	aldB; aldehyde dehydrogenase
K01895	ACSS1_2, acs; acetyl-CoA synthetase
K01913	AAE7, ACN1; acetate/butyrate---CoA ligase
K01905	acdA; acetate---CoA ligase (ADP-forming) subunit alpha
K22224	acdB; acetate---CoA ligase (ADP-forming) subunit beta
K24012	acdAB; acetate---CoA ligase (ADP-forming)
K01785	galM, GALM; aldose 1-epimerase
K01085	agp; glucose-1-phosphatase
K20866	yihX; glucose-1-phosphatase
K01835	pgm; phosphoglucomutase
K15778	pmm-pgm; phosphomannomutase / phosphoglucomutase
K15779	PGM2; phosphoglucomutase / phosphopentomutase
K01084	G6PC; glucose-6-phosphatase
K00886	ppgK; polyphosphate glucokinase
K08074	ADPGK; ADP-dependent glucokinase
K01792	E5.1.3.15; glucose-6-phosphate 1-epimerase
K01837	BPGM; bisphosphoglycerate/phosphoglycerate mutase
K03103	MINPP1; multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase
K11389	gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)
K18978	gapN; glyceraldehyde-3-phosphate dehydrogenase
K01596	E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)
K01610	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)
K01222	E3.2.1.86A, celF; 6-phospho-beta-glucosidase
K01223	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase
K02777	crr; sugar PTS system EIIA component
K02779	ptsG; glucose PTS system EIICB or EIICBA component
K02791	malX; maltose/glucose PTS system EIICB component
K20118	ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component
K02753	ascF; beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component
K01647	CS, gltA; citrate synthase
K01648	ACLY; ATP citrate (pro-S)-lyase
K15230	aclA; ATP-citrate lyase alpha-subunit
K15231	aclB; ATP-citrate lyase beta-subunit
K05942	E2.3.3.3; citrate (Re)-synthase
K01681	ACO, acnA; aconitate hydratase
K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase
K00030	IDH3; isocitrate dehydrogenase (NAD+)
K17753	HICDH; isocitrate--homoisocitrate dehydrogenase
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component
K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)
K01616	kgd; multifunctional 2-oxoglutarate metabolism enzyme
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha
K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta
K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma
K00176	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta
K01902	sucD; succinyl-CoA synthetase alpha subunit
K01903	sucC; succinyl-CoA synthetase beta subunit
K01899	LSC1; succinyl-CoA synthetase alpha subunit
K01900	LSC2; succinyl-CoA synthetase beta subunit
K18118	aarC, cat1; succinyl-CoA:acetate CoA-transferase
K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit
K00235	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit
K00236	SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K18859	sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D
K18860	sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D
K00244	frdA; fumarate reductase flavoprotein subunit
K00245	frdB; fumarate reductase iron-sulfur subunit
K00246	frdC; fumarate reductase subunit C
K00247	frdD; fumarate reductase subunit D
K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I
K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha
K01678	E4.2.1.2AB, fumB; fumarate hydratase subunit beta
K01679	E4.2.1.2B, fumC, FH; fumarate hydratase, class II
K01675	fumD; fumarate hydratase D
K01774	fumE; fumarate hydratase E
K00025	MDH1; malate dehydrogenase
K00026	MDH2; malate dehydrogenase
K00024	mdh; malate dehydrogenase
K00116	mqo; malate dehydrogenase (quinone)
K01958	PC, pyc; pyruvate carboxylase
K01959	pycA; pyruvate carboxylase subunit A
K01960	pycB; pyruvate carboxylase subunit B
K01610	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)
K01596	E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)
K00163	aceE; pyruvate dehydrogenase E1 component
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit
K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
K13997	PDHX; dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit
K00172	porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit
K00189	vorG, porG; 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit
K03737	por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase
K01810	GPI, pgi; glucose-6-phosphate isomerase
K06859	pgi1; glucose-6-phosphate isomerase, archaeal
K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase
K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase
K19243	azf; NAD+ dependent glucose-6-phosphate dehydrogenase
K01057	PGLS, pgl, devB; 6-phosphogluconolactonase
K07404	pgl; 6-phosphogluconolactonase
K13937	H6PD; hexose-6-phosphate dehydrogenase
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase
K01783	rpe, RPE; ribulose-phosphate 3-epimerase
K00615	E2.2.1.1, tktA, tktB; transketolase
K00616	E2.2.1.2, talA, talB; transaldolase
K01807	rpiA; ribose 5-phosphate isomerase A
K01808	rpiB; ribose 5-phosphate isomerase B
K13812	fae-hps; bifunctional enzyme Fae/Hps
K08093	hxlA; 3-hexulose-6-phosphate synthase
K08094	hxlB; 6-phospho-3-hexuloisomerase
K13831	hps-phi; 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase
K01621	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
K01619	deoC, DERA; deoxyribose-phosphate aldolase
K00852	rbsK, RBKS; ribokinase
K01839	deoB; phosphopentomutase
K22199	ppm; phosphopentomutase
K01835	pgm; phosphoglucomutase
K15778	pmm-pgm; phosphomannomutase / phosphoglucomutase
K15779	PGM2; phosphoglucomutase / phosphopentomutase
K05774	phnN; ribose 1,5-bisphosphokinase
K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase
K01690	edd; phosphogluconate dehydratase
K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase
K17463	dgaF; 2-dehydro-3-deoxy-phosphogluconate aldolase
K11395	kdpgA; 2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)
K18978	gapN; glyceraldehyde-3-phosphate dehydrogenase
K00034	gdh; glucose 1-dehydrogenase
K22969	gdh; glucose 1-dehydrogenase
K21840	HOX; hexose oxidase
K18124	gdh2, gdhA; glucose/galactose 1-dehydrogenase (NADP+)
K18125	ssgdh; aldose 1-dehydrogenase
K00115	GLD; glucose 1-dehydrogenase (FAD, quinone)
K19813	gdh; glucose dehydrogenase
K00117	gcd; quinoprotein glucose dehydrogenase
K01053	gnl, RGN; gluconolactonase
K06151	E1.1.99.3A; gluconate 2-dehydrogenase alpha chain
K06152	E1.1.99.3G; gluconate 2-dehydrogenase gamma chain
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase
K22229	K22229; 2-ketogluconate reductase
K11441	kguK; dehydrogluconokinase
K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase
K00851	idnK, gntK; gluconokinase
K25031	gntK; gluconokinase
K05308	gnaD; gluconate/galactonate dehydratase
K00874	kdgK; 2-dehydro-3-deoxygluconokinase
K18126	sskdgK; 2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase
K18127	kdgA; 2-dehydro-3-deoxy-D-gluconate aldolase
K03738	aor; aldehyde:ferredoxin oxidoreductase
K18020	cutA; glyceraldehyde dehydrogenase large subunit
K18021	cutB; glyceraldehyde dehydrogenase medium subunit
K18022	cutC; glyceraldehyde dehydrogenase small subunit
K18128	gadh; D-glyceraldehyde dehydrogenase (NADP+)
K11529	gck, gckA, GLYCTK; glycerate 2-kinase
K22345	E4.3.1.9; glucosaminate ammonia-lyase
K17464	dgaA; D-glucosaminate PTS system EIIA component
K17465	dgaB; D-glucosaminate PTS system EIIB component
K17466	dgaC; D-glucosaminate PTS system EIIC component
K17467	dgaD; D-glucosaminate PTS system EIID component
K17468	dgaE; D-glucosaminate-6-phosphate ammonia-lyase
K01623	ALDO; fructose-bisphosphate aldolase, class I
K11645	fbaB; fructose-bisphosphate aldolase, class I
K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II
K01622	K01622; fructose 1,6-bisphosphate aldolase/phosphatase
K16305	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase
K16306	K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase
K03841	FBP, fbp; fructose-1,6-bisphosphatase I
K02446	glpX; fructose-1,6-bisphosphatase II
K11532	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase
K01086	fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase
K04041	fbp3; fructose-1,6-bisphosphatase III
K24182	PFK9; 6-phosphofructokinase
K00850	pfkA, PFK; 6-phosphofructokinase 1
K16370	pfkB; 6-phosphofructokinase 2
K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase
K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase
K00895	pfp, PFP; diphosphate-dependent phosphofructokinase
K01051	E3.1.1.11; pectinesterase
K22539	PLY; pectate lyase
K01728	pel; pectate lyase
K19551	pelC; pectate lyase C
K01731	pelW; pectate disaccharide-lyase
K22994	pelX; pectate disaccharide-lyase
K01730	ogl; oligogalacturonide lyase
K01815	kduI; 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
K01184	E3.2.1.15; polygalacturonase
K01213	E3.2.1.67; galacturan 1,4-alpha-galacturonidase
K22933	lplD; galacturan 1,4-alpha-galacturonidase
K01812	uxaC; glucuronate isomerase
K00041	uxaB; tagaturonate reductase
K01685	uxaA; altronate hydrolase
K16849	uxaA1; altronate dehydratase small subunit
K16850	uxaA2; altronate dehydratase large subunit
K01686	uxuA; mannonate dehydratase
K08323	rspA, manD; mannonate dehydratase
K08322	rspB; L-gulonate 5-dehydrogenase
K00040	uxuB; fructuronate reductase
K21619	uxaE; tagaturonate epimerase
K18106	GAAA; D-galacturonate reductase
K19634	gar1; D-galacturonate reductase
K18102	GAAB, LGD1; L-galactonate dehydratase
K18103	GAAC, LGA1; L-threo-3-deoxy-hexylosonate aldolase
K18107	GAAD; L-glyceraldehyde reductase
K01195	uidA, GUSB; beta-glucuronidase
K14756	KL; klotho
K00699	UGT; glucuronosyltransferase
K16190	GLCAK; glucuronokinase
K12447	USP; UDP-sugar pyrophosphorylase
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase
K00963	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+)
K13247	CRYL1; L-gulonate 3-dehydrogenase
K08092	dlgD; 3-dehydro-L-gulonate 2-dehydrogenase
K00880	lyxK; L-xylulokinase
K03078	ulaD, sgaH, sgbH; 3-dehydro-L-gulonate-6-phosphate decarboxylase
K03079	ulaE, sgaU, sgbU; L-ribulose-5-phosphate 3-epimerase
K03077	araD, ulaF, sgaE, sgbE; L-ribulose-5-phosphate 4-epimerase
K01783	rpe, RPE; ribulose-phosphate 3-epimerase
K01804	araA; L-arabinose isomerase
K00853	araB; L-ribulokinase
K24707	E2.7.1.16; ribulokinase
K00854	xylB, XYLB; xylulokinase
K01805	xylA; xylose isomerase
K00011	AKR1B; aldehyde reductase
K00594	xyoA, aldO; alditol oxidase
K17743	XR; D-xylose reductase
K03331	DCXR; L-xylulose reductase
K01820	rhaA; L-rhamnose isomerase / sugar isomerase
K00848	rhaB; rhamnulokinase
K01629	rhaD; rhamnulose-1-phosphate aldolase
K17738	ARD; D-arabinitol 2-dehydrogenase
K17818	ARD1; D-arabinitol dehydrogenase (NADP+)
K00007	dalD; D-arabinitol 4-dehydrogenase
K09988	lyxA; D-lyxose ketol-isomerase
K05351	E1.1.1.9; D-xylulose reductase
K00008	SORD, gutB; L-iditol 2-dehydrogenase
K22185	xylB; D-xylose 1-dehydrogenase
K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)
K14273	xdh; D-xylose 1-dehydrogenase (NADP+, D-xylono-1,5-lactone-forming)
K14274	xylC; xylono-1,5-lactonase
K24442	xacA; D-xylose 1-dehydrogenase (NADP+, D-xylono-1,4-lactone-forming)
K24443	xacC; D-xylono/L-arabinono-1,4-lactonase
K14275	xad; D-xylonate dehydratase
K22186	xylD; xylonate dehydratase
K22396	yjhG, yagF; xylonate dehydratase
K22397	yjhH, yagE; 2-dehydro-3-deoxy-D-pentonate aldolase
K14259	kdaD, xacE, kdxD; 2-dehydro-3-deoxy-D-arabinonate dehydratase
K13877	aldH; 2,5-dioxopentanoate dehydrogenase
K19588	dopDH; 2,5-dioxopentanoate dehydrogenase
K22187	xylA; alpha-ketoglutaric semialdehyde dehydrogenase
K00875	rbtK; D-ribulokinase
K22935	XK1, psk; D-ribulokinase
K00039	rbtD; ribitol 2-dehydrogenase
K21680	E1.1.1.137; ribulose-5-phosphate 2-dehydrogenase
K05352	tarJ; ribitol-5-phosphate 2-dehydrogenase (NADP+)
K21681	bcs1; ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase
K21030	tarI; D-ribitol-5-phosphate cytidylyltransferase
K21031	ISPD; D-ribitol-5-phosphate cytidylyltransferase
K01818	fucI; L-fucose/D-arabinose isomerase
K00879	fucK; L-fuculokinase
K01628	fucA; L-fuculose-phosphate aldolase
K01218	gmuG; mannan endo-1,4-beta-mannosidase
K19355	MAN; mannan endo-1,4-beta-mannosidase
K00847	E2.7.1.4, scrK; fructokinase
K01809	manA, MPI; mannose-6-phosphate isomerase
K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase
K16011	algA, xanB, rfbA, wbpW, pslB; mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase
K17497	PMM; phosphomannomutase
K01840	manB; phosphomannomutase
K15778	pmm-pgm; phosphomannomutase / phosphoglucomutase
K16881	K16881; mannose-1-phosphate guanylyltransferase / phosphomannomutase
K00971	manC, cpsB; mannose-1-phosphate guanylyltransferase
K00966	GMPP; mannose-1-phosphate guanylyltransferase
K01711	gmd, GMDS; GDPmannose 4,6-dehydratase
K02377	TSTA3, fcl; GDP-L-fucose synthase
K00976	FPGT; fucose-1-phosphate guanylyltransferase
K18447	NUDX14; ADP-sugar diphosphatase
K05305	FUK; fucokinase
K01818	fucI; L-fucose/D-arabinose isomerase
K00879	fucK; L-fuculokinase
K01628	fucA; L-fuculose-phosphate aldolase
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase
K18333	K18333; L-fucose dehydrogenase
K07046	K07046; L-fuconolactonase
K18334	fucD; L-fuconate dehydratase
K18335	K18335; 2-keto-3-deoxy-L-fuconate dehydrogenase
K18336	lra6; 2,4-didehydro-3-deoxy-L-rhamnonate hydrolase
K18337	LRA1; L-rhamnose 1-dehydrogenase
K18338	LRA2; L-rhamnono-1,4-lactonase
K12661	LRA3, rhmD; L-rhamnonate dehydratase
K18339	LRA4; 2-keto-3-deoxy-L-rhamnonate aldolase
K12660	rhmA; 2-dehydro-3-deoxy-L-rhamnonate aldolase
K01813	rhaA; L-rhamnose isomerase
K21883	lra5; 2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)
K01820	rhaA; L-rhamnose isomerase / sugar isomerase
K00848	rhaB; rhamnulokinase
K01629	rhaD; rhamnulose-1-phosphate aldolase
K05947	E2.4.1.217; mannosyl-3-phosphoglycerate synthase
K07026	E3.1.3.70; mannosyl-3-phosphoglycerate phosphatase
K18818	mgs; mannosylglycerate synthase
K00844	HK; hexokinase
K24182	PFK9; 6-phosphofructokinase
K00850	pfkA, PFK; 6-phosphofructokinase 1
K16370	pfkB; 6-phosphofructokinase 2
K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase
K00895	pfp, PFP; diphosphate-dependent phosphofructokinase
K03841	FBP, fbp; fructose-1,6-bisphosphatase I
K02446	glpX; fructose-1,6-bisphosphatase II
K11532	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase
K01086	fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase
K04041	fbp3; fructose-1,6-bisphosphatase III
K19028	PFKFB1; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 1
K19029	PFKFB2; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 2
K01103	PFKFB3; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 3
K19030	PFKFB4; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 4
K00900	E2.7.1.105, PFK; 6-phosphofructo-2-kinase
K14634	TIGAR; fructose-2,6-bisphosphatase
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase
K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase
K19956	sorE; L-sorbose 1-phosphate reductase
K00846	KHK; ketohexokinase
K00882	fruK; 1-phosphofructokinase
K00008	SORD, gutB; L-iditol 2-dehydrogenase
K00011	AKR1B; aldehyde reductase
K00594	xyoA, aldO; alditol oxidase
K01805	xylA; xylose isomerase
K08261	E1.1.99.21; D-sorbitol dehydrogenase (acceptor)
K17742	SOU1; sorbose reductase
K19633	sr; sorbose reductase
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase
K00007	dalD; D-arabinitol 4-dehydrogenase
K00066	algD; GDP-mannose 6-dehydrogenase
K19290	alg8; mannuronan synthase
K19291	alg44; mannuronan synthase
K01795	algG; mannuronan 5-epimerase
K01729	algL; poly(beta-D-mannuronate) lyase
K01623	ALDO; fructose-bisphosphate aldolase, class I
K11645	fbaB; fructose-bisphosphate aldolase, class I
K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II
K01622	K01622; fructose 1,6-bisphosphate aldolase/phosphatase
K16305	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase
K16306	K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase
K01803	TPI, tpiA; triosephosphate isomerase (TIM)
K00863	DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing)
K03332	fruA; fructan beta-fructosidase
K22252	tld; GDP-6-deoxy-D-talose 4-dehydrogenase
K15856	rmd; GDP-4-dehydro-6-deoxy-D-mannose reductase
K00881	alsK; allose kinase
K01808	rpiB; ribose 5-phosphate isomerase B
K17195	alsE; D-allulose-6-phosphate 3-epimerase
K02768	fruB; fructose PTS system EIIA component
K02769	fruAb; fructose PTS system EIIB component
K02770	fruA; fructose PTS system EIIBC or EIIC component
K11194	levD; fructose PTS system EIIA component
K11195	levE; fructose PTS system EIIB component
K11196	levF; fructose PTS system EIIC component
K02771	levG; fructose PTS system EIID component
K02793	manXa; mannose PTS system EIIA component
K02794	manX; mannose PTS system EIIAB component
K02795	manY; mannose PTS system EIIC component
K02796	manZ; mannose PTS system EIID component
K02798	cmtB; mannitol PTS system EIIA component
K02800	mtlA, cmtA; mannitol PTS system EIICBA or EIICB component
K19270	hxpA; mannitol-1-/sugar-/sorbitol-6-phosphatase
K24204	hxpB; mannitol-1-/sugar-/sorbitol-6-/2-deoxyglucose-6-phosphatase
K02781	srlB; glucitol/sorbitol PTS system EIIA component
K02782	srlE; glucitol/sorbitol PTS system EIIB component
K02783	srlA; glucitol/sorbitol PTS system EIIC component
K02812	sorF, sorA; sorbose PTS system EIIA component
K02813	sorB; sorbose PTS system EIIB component
K02814	sorA, sorC; sorbose PTS system EIIC component
K02815	sorM, sorD; sorbose PTS system EIID component
K01785	galM, GALM; aldose 1-epimerase
K00849	galK; galactokinase
K00965	galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase
K01784	galE, GALE; UDP-glucose 4-epimerase
K17716	capD; UDP-glucose 4-epimerase
K00963	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase
K01835	pgm; phosphoglucomutase
K15778	pmm-pgm; phosphomannomutase / phosphoglucomutase
K15779	PGM2; phosphoglucomutase / phosphopentomutase
K00844	HK; hexokinase
K12407	GCK; glucokinase
K00845	glk; glucokinase
K25026	glk; glucokinase
K01084	G6PC; glucose-6-phosphatase
K01190	lacZ; beta-galactosidase
K12111	ebgA; evolved beta-galactosidase subunit alpha
K12112	ebgC; evolved beta-galactosidase subunit beta
K12308	bgaB, lacA; beta-galactosidase
K12309	GLB1, ELNR1; beta-galactosidase
K01229	LCT; lactase-phlorizin hydrolase
K00704	LALBA; alpha-lactalbumin
K07966	B4GALT1; beta-1,4-galactosyltransferase 1
K07967	B4GALT2; beta-1,4-galactosyltransferase 2
K12447	USP; UDP-sugar pyrophosphorylase
K01854	glf; UDP-galactopyranose mutase
K18819	GOLS; inositol 3-alpha-galactosyltransferase
K06617	E2.4.1.82; raffinose synthase
K01189	GLA; alpha-galactosidase
K07406	melA; alpha-galactosidase
