KEGG	KEGGname
04720	Long-term potentiation
04721	Synaptic vesicle cycle
04722	Neurotrophin signaling pathway
04723	Retrograde endocannabinoid signaling
04724	Glutamatergic synapse
04725	Cholinergic synapse
04726	Serotonergic synapse
04727	GABAergic synapse
04728	Dopaminergic synapse
04730	Long-term depression
04740	Olfactory transduction
04742	Taste transduction
04744	Phototransduction
04745	Phototransduction - fly
04750	Inflammatory mediator regulation of TRP channels
04810	Regulation of actin cytoskeleton
04812	Cytoskeleton proteins
04910	Insulin signaling pathway
04911	Insulin secretion
04912	GnRH signaling pathway
04913	Ovarian steroidogenesis
04914	Progesterone-mediated oocyte maturation
04915	Estrogen signaling pathway
04916	Melanogenesis
04917	Prolactin signaling pathway
04918	Thyroid hormone synthesis
04919	Thyroid hormone signaling pathway
04920	Adipocytokine signaling pathway
04921	Oxytocin signaling pathway
04922	Glucagon signaling pathway
04923	Regulation of lipolysis in adipocytes
04924	Renin secretion
04925	Aldosterone synthesis and secretion
04926	Relaxin signaling pathway
04927	Cortisol synthesis and secretion
04928	Parathyroid hormone synthesis, secretion and action
04929	GnRH secretion
04930	Type II diabetes mellitus
04931	Insulin resistance
04932	Non-alcoholic fatty liver disease
04933	AGE-RAGE signaling pathway in diabetic complications
04934	Cushing syndrome
04935	Growth hormone synthesis, secretion and action
04940	Type I diabetes mellitus
04950	Maturity onset diabetes of the young
04960	Aldosterone-regulated sodium reabsorption
04961	Endocrine and other factor-regulated calcium reabsorption
04962	Vasopressin-regulated water reabsorption
04964	Proximal tubule bicarbonate reclamation
04966	Collecting duct acid secretion
04970	Salivary secretion
04971	Gastric acid secretion
04972	Pancreatic secretion
04973	Carbohydrate digestion and absorption
04974	Protein digestion and absorption
04975	Fat digestion and absorption
04976	Bile secretion
04977	Vitamin digestion and absorption
04978	Mineral absorption
04979	Cholesterol metabolism
04990	Domain-containing proteins not elsewhere classified
05010	Alzheimer disease
05012	Parkinson disease
05014	Amyotrophic lateral sclerosis
05016	Huntington disease
05017	Spinocerebellar ataxia
05020	Prion disease
05022	Pathways of neurodegeneration - multiple diseases
05030	Cocaine addiction
05031	Amphetamine addiction
05032	Morphine addiction
05033	Nicotine addiction
05034	Alcoholism
05100	Bacterial invasion of epithelial cells
05110	Vibrio cholerae infection
05111	Biofilm formation - Vibrio cholerae
05120	Epithelial cell signaling in Helicobacter pylori infection
05130	Pathogenic Escherichia coli infection
05131	Shigellosis
05132	Salmonella infection
05133	Pertussis
05134	Legionellosis
05135	Yersinia infection
05140	Leishmaniasis
05142	Chagas disease
05143	African trypanosomiasis
05144	Malaria
05145	Toxoplasmosis
05146	Amoebiasis
05150	Staphylococcus aureus infection
05152	Tuberculosis
05160	Hepatitis C
05161	Hepatitis B
05162	Measles
05163	Human cytomegalovirus infection
05164	Influenza A
05165	Human papillomavirus infection
05166	Human T-cell leukemia virus 1 infection
05167	Kaposi sarcoma-associated herpesvirus infection
05168	Herpes simplex virus 1 infection
05169	Epstein-Barr virus infection
05170	Human immunodeficiency virus 1 infection
05171	Coronavirus disease - COVID-19
05200	Pathways in cancer
05202	Transcriptional misregulation in cancer
05203	Viral carcinogenesis
05204	Chemical carcinogenesis - DNA adducts
05205	Proteoglycans in cancer
05206	MicroRNAs in cancer
05207	Chemical carcinogenesis - receptor activation
05210	Colorectal cancer
05211	Renal cell carcinoma
05212	Pancreatic cancer
05213	Endometrial cancer
05214	Glioma
05215	Prostate cancer
05216	Thyroid cancer
05217	Basal cell carcinoma
05218	Melanoma
05219	Bladder cancer
05220	Chronic myeloid leukemia
05221	Acute myeloid leukemia
05222	Small cell lung cancer
05223	Non-small cell lung cancer
05224	Breast cancer
05225	Hepatocellular carcinoma
05226	Gastric cancer
05230	Central carbon metabolism in cancer
05231	Choline metabolism in cancer
05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
05310	Asthma
05320	Autoimmune thyroid disease
05321	Inflammatory bowel disease
05322	Systemic lupus erythematosus
05323	Rheumatoid arthritis
05330	Allograft rejection
05332	Graft-versus-host disease
05340	Primary immunodeficiency
05410	Hypertrophic cardiomyopathy
05412	Arrhythmogenic right ventricular cardiomyopathy
05414	Dilated cardiomyopathy
05415	Diabetic cardiomyopathy
05416	Viral myocarditis
05417	Lipid and atherosclerosis
05418	Fluid shear stress and atherosclerosis
09100	Metabolism
09101	Carbohydrate metabolism
09102	Energy metabolism
09103	Lipid metabolism
09104	Nucleotide metabolism
09105	Amino acid metabolism
09106	Metabolism of other amino acids
09107	Glycan biosynthesis and metabolism
09108	Metabolism of cofactors and vitamins
09109	Metabolism of terpenoids and polyketides
09110	Biosynthesis of other secondary metabolites
09111	Xenobiotics biodegradation and metabolism
09112	Not included in regular maps
09113	Global maps only
09120	Genetic Information Processing
09121	Transcription
09122	Translation
09123	Folding, sorting and degradation
09124	Replication and repair
09125	Information processing in viruses
09130	Environmental Information Processing
09131	Membrane transport
09132	Signal transduction
09133	Signaling molecules and interaction
09140	Cellular Processes
09141	Transport and catabolism
09142	Cell motility
09143	Cell growth and death
09144	Cellular community - eukaryotes
09145	Cellular community - prokaryotes
09149	Aging
09150	Organismal Systems
09151	Immune system
09152	Endocrine system
09153	Circulatory system
09154	Digestive system
09155	Excretory system
09156	Nervous system
09157	Sensory system
09158	Development and regeneration
09159	Environmental adaptation
09160	Human Diseases
09161	Cancer: overview
09162	Cancer: specific types
09163	Immune disease
09164	Neurodegenerative disease
09165	Substance dependence
09166	Cardiovascular disease
09167	Endocrine and metabolic disease
09171	Infectious disease: bacterial
09172	Infectious disease: viral
09174	Infectious disease: parasitic
09175	Drug resistance: antimicrobial
09176	Drug resistance: antineoplastic
09180	Brite Hierarchies
09181	Protein families: metabolism
09182	Protein families: genetic information processing
09183	Protein families: signaling and cellular processes
09184	RNA family
09185	Viral protein families
09190	Not Included in Pathway or Brite
09191	Unclassified: metabolism
09192	Unclassified: genetic information processing
09193	Unclassified: signaling and cellular processes
09194	Poorly characterized
99973	Transcription
99974	Translation
99975	Protein processing
99976	Replication and repair
99977	Transport
99978	Cell growth
99979	Unclassified viral proteins
99980	Enzymes with EC numbers
99981	Carbohydrate metabolism
99982	Energy metabolism
99983	Lipid metabolism
99984	Nucleotide metabolism
99985	Amino acid metabolism
99986	Glycan metabolism
99987	Cofactor metabolism
99988	Secondary metabolism
99992	Structural proteins
99993	Cell motility
99994	Others
99995	Signaling proteins
99996	General function prediction only
99997	Function unknown
99998	Others
99999	Others
KEGG	name
