KOGID	kogidname
KOG0087	GTPase Rab11/YPT3, small G protein superfamily
KOG0088	GTPase Rab21, small G protein superfamily
KOG0089	Methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase
KOG0090	Signal recognition particle receptor, beta subunit (small G protein superfamily)
KOG0091	GTPase Rab39, small G protein superfamily
KOG0092	GTPase Rab5/YPT51 and related small G protein superfamily GTPases
KOG0093	GTPase Rab3, small G protein superfamily
KOG0094	GTPase Rab6/YPT6/Ryh1, small G protein superfamily
KOG0095	GTPase Rab30, small G protein superfamily
KOG0096	GTPase Ran/TC4/GSP1 (nuclear protein transport pathway), small G protein superfamily
KOG0097	GTPase Rab14, small G protein superfamily
KOG0098	GTPase Rab2, small G protein superfamily
KOG0099	G protein subunit Galphas, small G protein superfamily
KOG0100	Molecular chaperones GRP78/BiP/KAR2, HSP70 superfamily
KOG0101	Molecular chaperones HSP70/HSC70, HSP70 superfamily
KOG0102	Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily
KOG0103	Molecular chaperones HSP105/HSP110/SSE1, HSP70 superfamily
KOG0104	Molecular chaperones GRP170/SIL1, HSP70 superfamily
KOG0105	Alternative splicing factor ASF/SF2 (RRM superfamily)
KOG0106	Alternative splicing factor SRp55/B52/SRp75 (RRM superfamily)
KOG0107	Alternative splicing factor SRp20/9G8 (RRM superfamily)
KOG0108	mRNA cleavage and polyadenylation factor I complex, subunit RNA15
KOG0109	RNA-binding protein LARK, contains RRM and retroviral-type Zn-finger domains
KOG0110	RNA-binding protein (RRM superfamily)
KOG0111	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
KOG0112	Large RNA-binding protein (RRM superfamily)
KOG0113	U1 small nuclear ribonucleoprotein (RRM superfamily)
KOG0114	Predicted RNA-binding protein (RRM superfamily)
KOG0115	RNA-binding protein p54nrb (RRM superfamily)
KOG0116	RasGAP SH3 binding protein rasputin, contains NTF2 and RRM domains
KOG0117	Heterogeneous nuclear ribonucleoprotein R (RRM superfamily)
KOG0118	FOG: RRM domain
KOG0119	Splicing factor 1/branch point binding protein (RRM superfamily)
KOG0120	Splicing factor U2AF, large subunit (RRM superfamily)
KOG0121	Nuclear cap-binding protein complex, subunit CBP20 (RRM superfamily)
KOG0122	Translation initiation factor 3, subunit g (eIF-3g)
KOG0123	Polyadenylate-binding protein (RRM superfamily)
KOG0124	Polypyrimidine tract-binding protein PUF60 (RRM superfamily)
KOG0125	Ataxin 2-binding protein (RRM superfamily)
KOG0126	Predicted RNA-binding protein (RRM superfamily)
KOG0127	Nucleolar protein fibrillarin NOP77 (RRM superfamily)
KOG0128	RNA-binding protein SART3 (RRM superfamily)
KOG0129	Predicted RNA-binding protein (RRM superfamily)
KOG0130	RNA-binding protein RBM8/Tsunagi (RRM superfamily)
KOG0131	Splicing factor 3b, subunit 4
KOG0132	RNA polymerase II C-terminal domain-binding protein RA4, contains RPR and RRM domains
KOG0133	Deoxyribodipyrimidine photolyase/cryptochrome
KOG0134	NADH:flavin oxidoreductase/12-oxophytodienoate reductase
KOG0135	Pristanoyl-CoA/acyl-CoA oxidase
KOG0136	Acyl-CoA oxidase
KOG0137	Very-long-chain acyl-CoA dehydrogenase
KOG0138	Glutaryl-CoA dehydrogenase
KOG0139	Short-chain acyl-CoA dehydrogenase
KOG0140	Medium-chain acyl-CoA dehydrogenase
KOG0141	Isovaleryl-CoA dehydrogenase
KOG0142	Isopentenyl pyrophosphate:dimethylallyl pyrophosphate isomerase
KOG0143	Iron/ascorbate family oxidoreductases
KOG0144	RNA-binding protein CUGBP1/BRUNO (RRM superfamily)
KOG0145	RNA-binding protein ELAV/HU (RRM superfamily)
KOG0146	RNA-binding protein ETR-3 (RRM superfamily)
KOG0147	Transcriptional coactivator CAPER (RRM superfamily)
KOG0148	Apoptosis-promoting RNA-binding protein TIA-1/TIAR (RRM superfamily)
KOG0149	Predicted RNA-binding protein SEB4 (RRM superfamily)
KOG0150	Spliceosomal protein FBP21
KOG0151	Predicted splicing regulator, contains RRM, SWAP and RPR domains
KOG0152	Spliceosomal protein FBP11/Splicing factor PRP40
KOG0153	Predicted RNA-binding protein (RRM superfamily)
KOG0154	RNA-binding protein RBM5 and related proteins, contain G-patch and RRM domains
KOG0155	Transcription factor CA150
KOG0156	Cytochrome P450 CYP2 subfamily
KOG0157	Cytochrome P450 CYP4/CYP19/CYP26 subfamilies
KOG0158	Cytochrome P450 CYP3/CYP5/CYP6/CYP9 subfamilies
KOG0159	Cytochrome P450 CYP11/CYP12/CYP24/CYP27 subfamilies
KOG0160	Myosin class V heavy chain
KOG0161	Myosin class II heavy chain
KOG0162	Myosin class I heavy chain
KOG0163	Myosin class VI heavy chain
KOG0164	Myosin class I heavy chain
KOG0165	Microtubule-associated protein Asp
KOG0166	Karyopherin (importin) alpha
KOG0167	FOG: Armadillo/beta-catenin-like repeats
KOG0168	Putative ubiquitin fusion degradation protein
KOG0169	Phosphoinositide-specific phospholipase C
KOG0170	E3 ubiquitin protein ligase
KOG0171	Mitochondrial inner membrane protease, subunit IMP1
KOG0172	Lysine-ketoglutarate reductase/saccharopine dehydrogenase
KOG0173	20S proteasome, regulatory subunit beta type PSMB7/PSMB10/PUP1
KOG0174	20S proteasome, regulatory subunit beta type PSMB6/PSMB9/PRE3
KOG0175	20S proteasome, regulatory subunit beta type PSMB5/PSMB8/PRE2
KOG0176	20S proteasome, regulatory subunit alpha type PSMA5/PUP2
KOG0177	20S proteasome, regulatory subunit beta type PSMB2/PRE1
KOG0178	20S proteasome, regulatory subunit alpha type PSMA4/PRE9
KOG0179	20S proteasome, regulatory subunit beta type PSMB1/PRE7
KOG0180	20S proteasome, regulatory subunit beta type PSMB3/PUP3
KOG0181	20S proteasome, regulatory subunit alpha type PSMA2/PRE8
KOG0182	20S proteasome, regulatory subunit alpha type PSMA6/SCL1
KOG0183	20S proteasome, regulatory subunit alpha type PSMA7/PRE6
KOG0184	20S proteasome, regulatory subunit alpha type PSMA3/PRE10
KOG0185	20S proteasome, regulatory subunit beta type PSMB4/PRE4
KOG0186	Proline oxidase
KOG0187	40S ribosomal protein S17
KOG0188	Alanyl-tRNA synthetase
KOG0189	Phosphoadenosine phosphosulfate reductase
KOG0190	Protein disulfide isomerase (prolyl 4-hydroxylase beta subunit)
KOG0191	Thioredoxin/protein disulfide isomerase
KOG0192	Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs
KOG0193	Serine/threonine protein kinase RAF
KOG0194	Protein tyrosine kinase
KOG0195	Integrin-linked kinase
KOG0196	Tyrosine kinase, EPH (ephrin) receptor family
KOG0197	Tyrosine kinases
KOG0198	MEKK and related serine/threonine protein kinases
KOG0199	ACK and related non-receptor tyrosine kinases
KOG0200	Fibroblast/platelet-derived growth factor receptor and related receptor tyrosine kinases
KOG0201	Serine/threonine protein kinase
KOG0202	Ca2+ transporting ATPase
KOG0203	Na+/K+ ATPase, alpha subunit
KOG0204	Calcium transporting ATPase
KOG0205	Plasma membrane H+-transporting ATPase
KOG0206	P-type ATPase
KOG0207	Cation transport ATPase
KOG0208	Cation transport ATPase
KOG0209	P-type ATPase
KOG0210	P-type ATPase
KOG0211	Protein phosphatase 2A regulatory subunit A and related proteins
KOG0212	Uncharacterized conserved protein
KOG0213	Splicing factor 3b, subunit 1
KOG0214	RNA polymerase II, second largest subunit
KOG0215	RNA polymerase III, second largest subunit
KOG0216	RNA polymerase I, second largest subunit
KOG0217	Mismatch repair ATPase MSH6 (MutS family)
KOG0218	Mismatch repair MSH3
KOG0219	Mismatch repair ATPase MSH2 (MutS family)
KOG0220	Mismatch repair ATPase MSH4 (MutS family)
KOG0221	Mismatch repair ATPase MSH5 (MutS family)
KOG0222	Phenylalanine and histidine ammonia-lyase
KOG0223	Aquaporin (major intrinsic protein family)
KOG0224	Aquaporin (major intrinsic protein family)
KOG0225	Pyruvate dehydrogenase E1, alpha subunit
KOG0226	RNA-binding proteins
KOG0227	Splicing factor 3a, subunit 2
KOG0228	Beta-fructofuranosidase (invertase)
KOG0229	Phosphatidylinositol-4-phosphate 5-kinase
KOG0230	Phosphatidylinositol-4-phosphate 5-kinase and related FYVE finger-containing proteins
KOG0231	Junctional membrane complex protein Junctophilin and related MORN repeat proteins
KOG0232	Vacuolar H+-ATPase V0 sector, subunits c/c'
KOG0233	Vacuolar H+-ATPase V0 sector, subunit c''
KOG0234	Fructose-6-phosphate 2-kinase/fructose-2,6-biphosphatase
KOG0235	Phosphoglycerate mutase
KOG0236	Sulfate/bicarbonate/oxalate exchanger SAT-1 and related transporters (SLC26 family)
KOG0237	Glycinamide ribonucleotide synthetase (GARS)/Aminoimidazole ribonucleotide synthetase (AIRS)
KOG0238	3-Methylcrotonyl-CoA carboxylase, biotin-containing subunit/Propionyl-CoA carboxylase, alpha chain/Acetyl-CoA carboxylase, biotin carboxylase subunit
KOG0239	Kinesin (KAR3 subfamily)
KOG0240	Kinesin (SMY1 subfamily)
KOG0241	Kinesin-like protein
KOG0242	Kinesin-like protein
KOG0243	Kinesin-like protein
KOG0244	Kinesin-like protein
KOG0245	Kinesin-like protein
KOG0246	Kinesin-like protein
KOG0247	Kinesin-like protein
KOG0248	Cytoplasmic protein Max-1, contains PH, MyTH4 and FERM domains
KOG0249	LAR-interacting protein and related proteins
KOG0250	DNA repair protein RAD18 (SMC family protein)
KOG0251	Clathrin assembly protein AP180 and related proteins, contain ENTH domain
KOG0252	Inorganic phosphate transporter
KOG0253	Synaptic vesicle transporter SV2 (major facilitator superfamily)
KOG0254	Predicted transporter (major facilitator superfamily)
KOG0255	Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)
KOG0256	1-aminocyclopropane-1-carboxylate synthase, and related proteins
KOG0257	Kynurenine aminotransferase, glutamine transaminase K
KOG0258	Alanine aminotransferase
KOG0259	Tyrosine aminotransferase
KOG0260	RNA polymerase II, large subunit
KOG0261	RNA polymerase III, large subunit
KOG0262	RNA polymerase I, large subunit
KOG0263	Transcription initiation factor TFIID, subunit TAF5 (also component of histone acetyltransferase SAGA)
KOG0264	Nucleosome remodeling factor, subunit CAF1/NURF55/MSI1
KOG0265	U5 snRNP-specific protein-like factor and related proteins
KOG0266	WD40 repeat-containing protein
KOG0267	Microtubule severing protein katanin p80 subunit B (contains WD40 repeats)
KOG0268	Sof1-like rRNA processing protein (contains WD40 repeats)
KOG0269	WD40 repeat-containing protein
KOG0270	WD40 repeat-containing protein
KOG0271	Notchless-like WD40 repeat-containing protein
KOG0272	U4/U6 small nuclear ribonucleoprotein Prp4 (contains WD40 repeats)
KOG0273	Beta-transducin family (WD-40 repeat) protein
KOG0274	Cdc4 and related F-box and WD-40 proteins
KOG0275	Conserved WD40 repeat-containing protein
KOG0276	Vesicle coat complex COPI, beta' subunit
KOG0277	Peroxisomal targeting signal type 2 receptor
KOG0278	Serine/threonine kinase receptor-associated protein
KOG0279	G protein beta subunit-like protein
KOG0280	Uncharacterized conserved protein
KOG0281	Beta-TrCP (transducin repeats containing)/Slimb proteins
KOG0282	mRNA splicing factor
KOG0283	WD40 repeat-containing protein
KOG0284	Polyadenylation factor I complex, subunit PFS2
KOG0285	Pleiotropic regulator 1
KOG0286	G-protein beta subunit
KOG0287	Postreplication repair protein RAD18
KOG0288	WD40 repeat protein TipD
KOG0289	mRNA splicing factor
KOG0290	Conserved WD40 repeat-containing protein AN11
KOG0291	WD40-repeat-containing subunit of the 18S rRNA processing complex
KOG0292	Vesicle coat complex COPI, alpha subunit
KOG0293	WD40 repeat-containing protein
KOG0294	WD40 repeat-containing protein
KOG0295	WD40 repeat-containing protein
KOG0296	Angio-associated migratory cell protein (contains WD40 repeats)
KOG0297	TNF receptor-associated factor
KOG0298	DEAD box-containing helicase-like transcription factor/DNA repair protein
KOG0299	U3 snoRNP-associated protein (contains WD40 repeats)
KOG0300	WD40 repeat-containing protein
KOG0301	Phospholipase A2-activating protein (contains WD40 repeats)
KOG0302	Ribosome Assembly protein
KOG0303	Actin-binding protein Coronin, contains WD40 repeats
KOG0304	mRNA deadenylase subunit
KOG0305	Anaphase promoting complex, Cdc20, Cdh1, and Ama1 subunits
KOG0306	WD40-repeat-containing subunit of the 18S rRNA processing complex
KOG0307	Vesicle coat complex COPII, subunit SEC31
KOG0308	Conserved WD40 repeat-containing protein
KOG0309	Conserved WD40 repeat-containing protein
KOG0310	Conserved WD40 repeat-containing protein
KOG0311	Predicted E3 ubiquitin ligase
KOG0312	Uncharacterized conserved protein
KOG0313	Microtubule binding protein YTM1 (contains WD40 repeats)
KOG0314	Predicted E3 ubiquitin ligase
KOG0315	G-protein beta subunit-like protein (contains WD40 repeats)
KOG0316	Conserved WD40 repeat-containing protein
KOG0317	Predicted E3 ubiquitin ligase, integral peroxisomal membrane protein
KOG0318	WD40 repeat stress protein/actin interacting protein
KOG0319	WD40-repeat-containing subunit of the 18S rRNA processing complex
KOG0320	Predicted E3 ubiquitin ligase
KOG0321	WD40 repeat-containing protein L2DTL
KOG0322	G-protein beta subunit-like protein GNB1L, contains WD repeats
KOG0323	TFIIF-interacting CTD phosphatases, including NLI-interacting factor
KOG0324	Uncharacterized conserved protein
KOG0325	Lipoyltransferase
KOG0326	ATP-dependent RNA helicase
KOG0327	Translation initiation factor 4F, helicase subunit (eIF-4A) and related helicases
KOG0328	Predicted ATP-dependent RNA helicase FAL1, involved in rRNA maturation, DEAD-box superfamily
KOG0329	ATP-dependent RNA helicase
KOG0330	ATP-dependent RNA helicase
KOG0331	ATP-dependent RNA helicase
KOG0332	ATP-dependent RNA helicase
KOG0333	U5 snRNP-like RNA helicase subunit
KOG0334	RNA helicase
KOG0335	ATP-dependent RNA helicase
KOG0336	ATP-dependent RNA helicase
KOG0337	ATP-dependent RNA helicase
KOG0338	ATP-dependent RNA helicase
KOG0339	ATP-dependent RNA helicase
KOG0340	ATP-dependent RNA helicase
KOG0341	DEAD-box protein abstrakt
KOG0342	ATP-dependent RNA helicase pitchoune
KOG0343	RNA Helicase
KOG0344	ATP-dependent RNA helicase
KOG0345	ATP-dependent RNA helicase
KOG0346	RNA helicase
KOG0347	RNA helicase
KOG0348	ATP-dependent RNA helicase
KOG0349	Putative DEAD-box RNA helicase DDX1
KOG0350	DEAD-box ATP-dependent RNA helicase
KOG0351	ATP-dependent DNA helicase
KOG0352	ATP-dependent DNA helicase
KOG0353	ATP-dependent DNA helicase
KOG0354	DEAD-box like helicase
KOG0355	DNA topoisomerase type II
KOG0356	Mitochondrial chaperonin, Cpn60/Hsp60p
KOG0357	Chaperonin complex component, TCP-1 epsilon subunit (CCT5)
KOG0358	Chaperonin complex component, TCP-1 delta subunit (CCT4)
KOG0359	Chaperonin complex component, TCP-1 zeta subunit (CCT6)
KOG0360	Chaperonin complex component, TCP-1 alpha subunit (CCT1)
KOG0361	Chaperonin complex component, TCP-1 eta subunit (CCT7)
KOG0362	Chaperonin complex component, TCP-1 theta subunit (CCT8)
KOG0363	Chaperonin complex component, TCP-1 beta subunit (CCT2)
KOG0364	Chaperonin complex component, TCP-1 gamma subunit (CCT3)
KOG0365	Beta subunit of farnesyltransferase
KOG0366	Protein geranylgeranyltransferase type II, beta subunit
KOG0367	Protein geranylgeranyltransferase Type I, beta subunit
KOG0368	Acetyl-CoA carboxylase
KOG0369	Pyruvate carboxylase
KOG0370	Multifunctional pyrimidine synthesis protein CAD (includes carbamoyl-phophate synthetase, aspartate transcarbamylase, and glutamine amidotransferase)
KOG0371	Serine/threonine protein phosphatase 2A, catalytic subunit
KOG0372	Serine/threonine specific protein phosphatase involved in glycogen accumulation, PP2A-related
KOG0373	Serine/threonine specific protein phosphatase involved in cell cycle control, PP2A-related
KOG0374	Serine/threonine specific protein phosphatase PP1, catalytic subunit
KOG0375	Serine-threonine phosphatase 2B, catalytic subunit
KOG0376	Serine-threonine phosphatase 2A, catalytic subunit
KOG0377	Protein serine/threonine phosphatase RDGC/PPEF, contains STphosphatase and EF-hand domains
KOG0378	40S ribosomal protein S4
KOG0379	Kelch repeat-containing proteins
KOG0380	Sterol O-acyltransferase/Diacylglycerol O-acyltransferase
KOG0381	HMG box-containing protein
KOG0382	Carbonic anhydrase
KOG0383	Predicted helicase
KOG0384	Chromodomain-helicase DNA-binding protein
KOG0385	Chromatin remodeling complex WSTF-ISWI, small subunit
KOG0386	Chromatin remodeling complex SWI/SNF, component SWI2 and related ATPases (DNA/RNA helicase superfamily)
KOG0387	Transcription-coupled repair protein CSB/RAD26 (contains SNF2 family DNA-dependent ATPase domain)
KOG0388	SNF2 family DNA-dependent ATPase
KOG0389	SNF2 family DNA-dependent ATPase
KOG0390	DNA repair protein, SNF2 family
KOG0391	SNF2 family DNA-dependent ATPase
KOG0392	SNF2 family DNA-dependent ATPase domain-containing protein
KOG0393	Ras-related small GTPase, Rho type
KOG0394	Ras-related GTPase
KOG0395	Ras-related GTPase
KOG0396	Uncharacterized conserved protein
KOG0397	60S ribosomal protein L11
KOG0398	Mitochondrial/chloroplast ribosomal protein L5/L7
KOG0399	Glutamate synthase
KOG0400	40S ribosomal protein S13
KOG0401	Translation initiation factor 4F, ribosome/mRNA-bridging subunit (eIF-4G)
KOG0402	60S ribosomal protein L37
KOG0403	Neoplastic transformation suppressor Pdcd4/MA-3, contains MA3 domain
KOG0404	Thioredoxin reductase
KOG0405	Pyridine nucleotide-disulphide oxidoreductase
KOG0406	Glutathione S-transferase
KOG0407	40S ribosomal protein S14
KOG0408	Mitochondrial/chloroplast ribosomal protein S11
KOG0409	Predicted dehydrogenase
KOG0410	Predicted GTP binding protein
KOG0411	Uncharacterized membrane protein
KOG0412	Golgi transport complex COD1 protein
KOG0413	Uncharacterized conserved protein related to condensin complex subunit 1
KOG0414	Chromosome condensation complex Condensin, subunit D2
KOG0415	Predicted peptidyl prolyl cis-trans isomerase
KOG0416	Ubiquitin-protein ligase
KOG0417	Ubiquitin-protein ligase
KOG0418	Ubiquitin-protein ligase
KOG0419	Ubiquitin-protein ligase
KOG0420	Ubiquitin-protein ligase
KOG0421	Ubiquitin-protein ligase
KOG0422	Ubiquitin-protein ligase
KOG0423	Ubiquitin-protein ligase
KOG0424	Ubiquitin-protein ligase
KOG0425	Ubiquitin-protein ligase
KOG0426	Ubiquitin-protein ligase
KOG0427	Ubiquitin conjugating enzyme
KOG0428	Non-canonical ubiquitin conjugating enzyme 1
KOG0429	Ubiquitin-conjugating enzyme-related protein Ft1, involved in programmed cell death
KOG0430	Xanthine dehydrogenase
KOG0431	Auxilin-like protein and related proteins containing DnaJ domain
KOG0432	Valyl-tRNA synthetase
KOG0433	Isoleucyl-tRNA synthetase
KOG0434	Isoleucyl-tRNA synthetase
KOG0435	Leucyl-tRNA synthetase
KOG0436	Methionyl-tRNA synthetase
KOG0437	Leucyl-tRNA synthetase
KOG0438	Mitochondrial/chloroplast ribosomal protein L2
KOG0439	VAMP-associated protein involved in inositol metabolism
KOG0440	Cell cycle-associated protein Mob1-1
KOG0441	Cu2+/Zn2+ superoxide dismutase SOD1
KOG0442	Structure-specific endonuclease ERCC1-XPF, catalytic component XPF/ERCC4
KOG0443	Actin regulatory proteins (gelsolin/villin family)
KOG0444	Cytoskeletal regulator Flightless-I (contains leucine-rich and gelsolin repeats)
KOG0445	Actin regulatory protein supervillin (gelsolin/villin family)
KOG0446	Vacuolar sorting protein VPS1, dynamin, and related proteins
KOG0447	Dynamin-like GTP binding protein
KOG0448	Mitofusin 1 GTPase, involved in mitochondrila biogenesis
KOG0449	Succinate dehydrogenase, cytochrome b subunit
KOG0450	2-oxoglutarate dehydrogenase, E1 subunit
KOG0451	Predicted 2-oxoglutarate dehydrogenase, E1 subunit
KOG0452	RNA-binding translational regulator IRP (aconitase superfamily)
KOG0453	Aconitase/homoaconitase (aconitase superfamily)
KOG0454	3-isopropylmalate dehydratase (aconitase superfamily)
KOG0455	Homoserine dehydrogenase
KOG0456	Aspartate kinase
KOG0457	Histone acetyltransferase complex SAGA/ADA, subunit ADA2
KOG0458	Elongation factor 1 alpha
KOG0459	Polypeptide release factor 3
KOG0460	Mitochondrial translation elongation factor Tu
KOG0461	Selenocysteine-specific elongation factor
KOG0462	Elongation factor-type GTP-binding protein
KOG0463	GTP-binding protein GP-1
KOG0464	Elongation factor G
KOG0465	Mitochondrial elongation factor
KOG0466	Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase)
KOG0467	Translation elongation factor 2/ribosome biogenesis protein RIA1 and related proteins
KOG0468	U5 snRNP-specific protein
KOG0469	Elongation factor 2
KOG0470	1,4-alpha-glucan branching enzyme/starch branching enzyme II
KOG0471	Alpha-amylase
KOG0472	Leucine-rich repeat protein
KOG0473	Leucine-rich repeat protein
KOG0474	Cl- channel CLC-7 and related proteins (CLC superfamily)
KOG0475	Cl- channel CLC-3 and related proteins (CLC superfamily)
KOG0476	Cl- channel CLC-2 and related proteins (CLC superfamily)
KOG0477	DNA replication licensing factor, MCM2 component
KOG0478	DNA replication licensing factor, MCM4 component
KOG0479	DNA replication licensing factor, MCM3 component
KOG0480	DNA replication licensing factor, MCM6 component
KOG0481	DNA replication licensing factor, MCM5 component
KOG0482	DNA replication licensing factor, MCM7 component
KOG0483	Transcription factor HEX, contains HOX and HALZ domains
KOG0484	Transcription factor PHOX2/ARIX, contains HOX domain
KOG0485	Transcription factor NKX-5.1/HMX1, contains HOX domain
KOG0486	Transcription factor PTX1, contains HOX domain
KOG0487	Transcription factor Abd-B, contains HOX domain
KOG0488	Transcription factor BarH and related HOX domain proteins
KOG0489	Transcription factor zerknullt and related HOX domain proteins
KOG0490	Transcription factor, contains HOX domain
KOG0491	Transcription factor BSH, contains HOX domain
KOG0492	Transcription factor MSH, contains HOX domain
KOG0493	Transcription factor Engrailed, contains HOX domain
KOG0494	Transcription factor CHX10 and related HOX domain proteins
KOG0495	HAT repeat protein
KOG0496	Beta-galactosidase
KOG0497	Oxidosqualene-lanosterol cyclase and related proteins
KOG0498	K+-channel ERG and related proteins, contain PAS/PAC sensor domain
KOG0499	Cyclic nucleotide-gated cation channel CNCG4
KOG0500	Cyclic nucleotide-gated cation channel CNGA1-3 and related proteins
KOG0501	K+-channel KCNQ
KOG0502	Integral membrane ankyrin-repeat protein Kidins220 (protein kinase D substrate)
KOG0503	Asparaginase
KOG0504	FOG: Ankyrin repeat
KOG0505	Myosin phosphatase, regulatory subunit
KOG0506	Glutaminase (contains ankyrin repeat)
KOG0507	CASK-interacting adaptor protein (caskin) and related proteins with ankyrin repeats and SAM domain
